ANALYSIS OF RIDE LENGTH >1,,,,,,,More casual riders then member riders took the bikes for more than one day,
,Column Labels,,,,,,Classic bike was most used. The electric bike was not at all used.,
,casual,,,,member,,The casual riders used the classic bike more but by a small margin.,
,classic_bike,,docked_bike,,classic_bike,,,The average ride length was more for docked bikes in case of casual riders.
Row Labels,Average of ride_len,Count of member_casual,Average of ride_len,Count of member_casual,Average of ride_len,Count of member_casual,The member riders are just using classic bikes.,
1,1.041573571,23,3.649775641,13,1.041585648,10,,
2,1.041575521,8,5.456203704,7,1.041587095,8,,
3,1.038851496,13,1.395726273,4,1.041574074,2,,
4,1.041584201,8,1.319255952,7,1.028724537,5,,
5,1.041575521,8,3.711195437,7,1.032445023,4,,
6,1.041585648,14,1.572385545,9,1.041516204,4,,
7,1.041585648,14,6.909034392,14,1.041608796,3,,
Grand Total,1.04117661,88,3.890402057,61,1.038777649,36,,
,,,,,,,,
,casual Average of ride_len,casual Count of member_casual,member Average of ride_len,member Count of member_casual,Total Average of ride_len,Total Count of member_casual,,
,,,,,,,,
Row Labels,,,,,,,,
1,1.983424318,36,1.041585648,10,1.778676781,46,,
2,3.10173534,15,1.041587095,8,2.385162037,23,,
3,1.122822032,17,1.041574074,2,1.114269615,19,,
4,1.171164352,15,1.028724537,5,1.135554398,20,,
5,2.287398148,15,1.032445023,4,2.02319749,19,,
6,1.249289956,23,1.041516204,4,1.218508659,27,,
7,3.97531002,28,1.041608796,3,3.69140345,31,,
Grand Total,2.207638034,149,1.038777649,36,1.980184122,185,,
,,,,,,,,
,,,,,,,,
ANALYSIS OF RIDE LENGTH <1,,,,,,,,
Average of ride_len,Column Labels,,,,,,,
,casual,,,member,,,,
Row Labels,classic_bike,docked_bike,electric_bike,classic_bike,electric_bike,,,
1,00:25:36,00:45:19,00:17:43,00:12:53,00:11:36,,,
2,00:20:15,00:42:15,00:14:28,00:12:17,00:09:47,,,
3,00:18:19,00:36:21,00:13:28,00:11:28,00:10:01,,,
4,00:19:21,00:34:38,00:13:37,00:11:24,00:10:01,,,
5,00:20:05,00:32:06,00:13:10,00:11:22,00:09:41,,,
6,00:21:08,00:45:02,00:14:09,00:11:31,00:10:09,,,
7,00:24:32,00:39:19,00:16:34,00:13:14,00:11:40,,,
Grand Total,00:21:53,00:40:15,00:14:51,00:11:57,00:10:18,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Average of ride_len,,Total Average of ride_len,,,,,
,casual Total,member Total,,,,,,
Row Labels,,,,,,,,
1,00:22:59,00:12:14,00:16:30,,,,,
2,00:17:53,00:11:01,00:12:43,,,,,
3,00:15:54,00:10:44,00:11:58,,,,,
4,00:16:17,00:10:41,00:12:08,,,,,
5,00:16:08,00:10:27,00:11:57,,,,,
6,00:18:10,00:10:47,00:13:01,,,,,
7,00:21:24,00:12:26,00:16:07,,,,,
Grand Total,00:18:44,00:11:06,00:13:22,,,,,
,,,,,,,,
,,,,,,,,
ANALYSIS OF COUNT OF RIDEABLE TYPES,,,,,,,,
Count of member_casual,Column Labels,,,,,,,
,classic_bike,,docked_bike,electric_bike,,,,
Row Labels,casual,member,casual,casual,member,,,
1,5934,13140,1650,9861,13413,,,
2,4242,22266,947,9609,22788,,,
3,4255,25061,822,11061,26097,,,
4,3836,19060,707,9246,20297,,,
5,3046,14537,646,7499,16909,,,
6,3742,13938,852,8400,16171,,,
7,6811,14171,1990,11759,15182,,,
Grand Total,31866,122173,7614,67435,130857,,,
,,,,,,,,
,,,,,,,,
,classic_bike Total,docked_bike Total,electric_bike Total,Grand Total,casual Total,member Total,,
Row Labels,,,,,,,,
1,19074,1650,23274,43998,17445,26553,,
2,26508,947,32397,59852,14798,45054,,
3,29316,822,37158,67296,16138,51158,,
4,22896,707,29543,53146,13789,39357,,
5,17583,646,24408,42637,11191,31446,,
6,17680,852,24571,43103,12994,30109,,
7,20982,1990,26941,49913,20560,29353,,
Grand Total,154039,7614,198292,359945,106915,253030,,
